service_id,date,exception_type
2773295,20190602,1
2773295,20190610,1
2773295,20190616,1
2773295,20190623,1
2773295,20190630,1
2773295,20190707,1
2773295,20190721,1
2773295,20190728,1
2773296,20190205,1
2773296,20190206,1
2773296,20190207,1
2773296,20190211,1
2773296,20190212,1
2773296,20190213,1
2773296,20190214,1
2773296,20190218,1
2773296,20190219,1
2773296,20190220,1
2773296,20190221,1
2773296,20190311,1
2773296,20190312,1
2773296,20190313,1
2773296,20190314,1
2773296,20190318,1
2773296,20190319,1
2773296,20190320,1
2773296,20190321,1
2773296,20190325,1
2773296,20190326,1
2773296,20190327,1
2773296,20190328,1
2773296,20190401,1
2773296,20190402,1
2773296,20190403,1
2773296,20190404,1
2773296,20190408,1
2773296,20190409,1
2773296,20190410,1
2773296,20190411,1
2773296,20190415,1
2773296,20190416,1
2773296,20190417,1
2773296,20190418,1
2773300,20190209,1
2773300,20190216,1
2773300,20190223,1
2773300,20190302,1
2773300,20190309,1
2773300,20190316,1
2773300,20190323,1
2773300,20190330,1
2773300,20190406,1
2773300,20190413,1
2773300,20190420,1
2773300,20190427,1
2773300,20190504,1
2773300,20190511,1
2773300,20190518,1
2773300,20190525,1
2773293,20190421,1
2773294,20190210,1
2773294,20190217,1
2773294,20190224,1
2773294,20190303,1
2773294,20190310,1
2773294,20190317,1
2773294,20190324,1
2773294,20190331,1
2773294,20190407,1
2773294,20190414,1
2773294,20190422,1
2773294,20190428,1
2773294,20190501,1
2773294,20190505,1
2773294,20190508,1
2773294,20190512,1
2773294,20190519,1
2773294,20190526,1
2773294,20190530,1
2773299,20190801,1
12773296,20190206,1
12773296,20190207,1
12773296,20190208,1
12773296,20190212,1
12773296,20190213,1
12773296,20190214,1
12773296,20190215,1
12773296,20190219,1
12773296,20190220,1
12773296,20190221,1
12773296,20190222,1
12773296,20190312,1
12773296,20190313,1
12773296,20190314,1
12773296,20190315,1
12773296,20190319,1
12773296,20190320,1
12773296,20190321,1
12773296,20190322,1
12773296,20190326,1
12773296,20190327,1
12773296,20190328,1
12773296,20190329,1
12773296,20190402,1
12773296,20190403,1
12773296,20190404,1
12773296,20190405,1
12773296,20190409,1
12773296,20190410,1
12773296,20190411,1
12773296,20190412,1
12773296,20190416,1
12773296,20190417,1
12773296,20190418,1
12773296,20190419,1
12773297,20190226,1
12773297,20190227,1
12773297,20190228,1
12773297,20190301,1
12773297,20190305,1
12773297,20190306,1
12773297,20190307,1
12773297,20190308,1
12773297,20190424,1
12773297,20190425,1
12773297,20190426,1
12773297,20190430,1
12773297,20190503,1
12773297,20190507,1
12773297,20190510,1
12773297,20190514,1
12773297,20190515,1
12773297,20190516,1
12773297,20190517,1
12773297,20190521,1
12773297,20190522,1
12773297,20190523,1
12773297,20190524,1
12773297,20190528,1
12773297,20190529,1
12773297,20190604,1
12773297,20190605,1
12773297,20190606,1
12773297,20190607,1
12773297,20190612,1
12773297,20190613,1
12773297,20190614,1
12773297,20190618,1
12773297,20190619,1
12773297,20190620,1
12773297,20190621,1
12773297,20190625,1
12773297,20190626,1
12773297,20190627,1
12773297,20190628,1
2773297,20190225,1
2773297,20190226,1
2773297,20190227,1
2773297,20190228,1
2773297,20190304,1
2773297,20190305,1
2773297,20190306,1
2773297,20190307,1
2773297,20190423,1
2773297,20190424,1
2773297,20190425,1
2773297,20190429,1
2773297,20190502,1
2773297,20190506,1
2773297,20190509,1
2773297,20190513,1
2773297,20190514,1
2773297,20190515,1
2773297,20190516,1
2773297,20190520,1
2773297,20190521,1
2773297,20190522,1
2773297,20190523,1
2773297,20190527,1
2773297,20190528,1
2773297,20190603,1
2773297,20190604,1
2773297,20190605,1
2773297,20190606,1
2773297,20190611,1
2773297,20190612,1
2773297,20190613,1
2773297,20190617,1
2773297,20190618,1
2773297,20190619,1
2773297,20190620,1
2773297,20190624,1
2773297,20190625,1
2773297,20190626,1
2773297,20190627,1
12773298,20190702,1
12773298,20190703,1
12773298,20190704,1
12773298,20190705,1
12773298,20190709,1
12773298,20190710,1
12773298,20190711,1
12773298,20190712,1
12773298,20190716,1
12773298,20190717,1
12773298,20190718,1
12773298,20190719,1
12773298,20190723,1
12773298,20190724,1
12773298,20190725,1
12773298,20190726,1
12773298,20190730,1
12773298,20190731,1
12773298,20190801,1
2773298,20190701,1
2773298,20190702,1
2773298,20190703,1
2773298,20190704,1
2773298,20190708,1
2773298,20190709,1
2773298,20190710,1
2773298,20190711,1
2773298,20190715,1
2773298,20190716,1
2773298,20190717,1
2773298,20190718,1
2773298,20190722,1
2773298,20190723,1
2773298,20190724,1
2773298,20190725,1
2773298,20190729,1
2773298,20190730,1
2773298,20190731,1
12773299,20190802,1
12773305,20190803,1
12773304,20190601,1
12773304,20190706,1
12773304,20190713,1
12773304,20190720,1
12773304,20190727,1
12773293,20190422,1
12773295,20190603,1
12773295,20190611,1
12773295,20190617,1
12773295,20190624,1
12773295,20190701,1
12773295,20190708,1
12773295,20190722,1
12773295,20190729,1
12773294,20190211,1
12773294,20190218,1
12773294,20190225,1
12773294,20190304,1
12773294,20190311,1
12773294,20190318,1
12773294,20190325,1
12773294,20190401,1
12773294,20190408,1
12773294,20190415,1
12773294,20190423,1
12773294,20190429,1
12773294,20190502,1
12773294,20190506,1
12773294,20190509,1
12773294,20190513,1
12773294,20190520,1
12773294,20190527,1
12773294,20190531,1
12773301,20190602,1
12773301,20190609,1
12773301,20190610,1
12773301,20190616,1
12773301,20190623,1
12773301,20190630,1
12773301,20190707,1
12773301,20190714,1
12773301,20190715,1
12773301,20190721,1
12773301,20190728,1
12773301,20190804,1
12773300,20190210,1
12773300,20190217,1
12773300,20190224,1
12773300,20190303,1
12773300,20190310,1
12773300,20190317,1
12773300,20190324,1
12773300,20190331,1
12773300,20190407,1
12773300,20190414,1
12773300,20190421,1
12773300,20190428,1
12773300,20190505,1
12773300,20190512,1
12773300,20190519,1
12773300,20190526,1
12773303,20190302,1
12773303,20190309,1
12773303,20190427,1
12773303,20190501,1
12773303,20190504,1
12773303,20190508,1
12773303,20190511,1
12773303,20190518,1
12773303,20190525,1
12773303,20190530,1
12773303,20190608,1
12773303,20190615,1
12773303,20190622,1
12773303,20190629,1
12773302,20190209,1
12773302,20190216,1
12773302,20190223,1
12773302,20190316,1
12773302,20190323,1
12773302,20190330,1
12773302,20190406,1
12773302,20190413,1
12773302,20190420,1
2773303,20190301,1
2773303,20190308,1
2773303,20190426,1
2773303,20190430,1
2773303,20190503,1
2773303,20190507,1
2773303,20190510,1
2773303,20190517,1
2773303,20190524,1
2773303,20190529,1
2773303,20190607,1
2773303,20190614,1
2773303,20190621,1
2773303,20190628,1
2773304,20190531,1
2773304,20190705,1
2773304,20190712,1
2773304,20190719,1
2773304,20190726,1
2773301,20190601,1
2773301,20190608,1
2773301,20190609,1
2773301,20190615,1
2773301,20190622,1
2773301,20190629,1
2773301,20190706,1
2773301,20190713,1
2773301,20190714,1
2773301,20190720,1
2773301,20190727,1
2773301,20190803,1
2773302,20190208,1
2773302,20190215,1
2773302,20190222,1
2773302,20190315,1
2773302,20190322,1
2773302,20190329,1
2773302,20190405,1
2773302,20190412,1
2773302,20190419,1
2773305,20190802,1
