from_stop_id,to_stop_id,transfer_type,min_transfer_time
1653,3812926,2,227
3764469,1903,2,213
1690,3812932,2,279
4025058,2005,2,203
2194,4687379,2,200
1952,3926338,2,208
4024990,2005,2,218
4024989,2005,2,275
2233,1907,2,76
2137,3887763,2,189
1977,3748046,2,195
2346,4008248,2,196
3807588,2500,2,279
2137,3887762,2,203
2476,5138220,2,194
3716893,1952,2,263
2207,3887757,2,232
1977,3748048,2,245
2350,4036774,2,278
1952,3765255,2,270
2350,4036773,2,267
8433,3681839,2,210
2533,3442423,2,246
2252,4726759,2,221
2533,3442422,2,227
1952,3887817,2,270
2346,4008249,2,223
3807586,2476,2,217
8433,3681832,2,210
2241,3812988,2,274
8433,3681831,2,216
4009538,2252,2,251
1867,3748042,2,264
2137,6251753,2,213
1867,3748041,2,264
2137,6251752,2,217
2346,4008251,2,198
3807589,1927,2,243
2346,4008250,2,228
2004,3681846,2,201
2004,3681845,2,312
2207,2206,2,145
2256,7013435,2,208
2256,7013434,2,272
1867,3812965,2,235
2207,1956,2,800
2150,5121363,2,237
2150,5121364,2,229
2194,4015831,2,203
2476,3813061,2,207
5727689,2005,2,207
1811,5018403,2,267
1653,3813066,2,186
2194,4015770,2,218
1653,3813067,2,232
1811,6251751,2,278
1811,6251750,2,267
2207,1951,2,129
5727695,2194,2,203
1666,1667,2,65
2194,7069272,2,218
2241,3749941,2,206
2533,3813066,2,186
2533,3813067,2,232
2194,4015768,2,202
2233,5454913,2,198
2233,5454912,2,207
2194,7069273,2,203
7653720,1666,2,235
1867,6591518,2,235
2194,4015769,2,210
2005,4008265,2,218
2233,3887761,2,198
2207,3673583,2,268
1916,3749891,2,267
2350,6251750,2,267
1916,3749894,2,198
1653,1845,2,91
2476,4009666,2,226
2350,6251751,2,278
1916,3749893,2,187
2031,3812947,2,195
2031,3812946,2,229
2005,4687379,2,200
6673108,1977,2,275
2057,5121365,2,182
2005,4008270,2,203
2005,4008271,2,222
1927,3887782,2,243
2299,7013431,2,214
1653,2312,2,80
2299,7013430,2,232
1653,4037040,2,186
3764469,2299,2,213
2252,3813118,2,210
2252,3813119,2,221
1818,4008882,2,225
1666,3813061,2,207
2018,6251752,2,217
2018,5018404,2,217
2193,4008260,2,218
2167,3748046,2,195
2167,3748048,2,245
1952,3764976,2,208
2194,7069449,2,202
2018,6251753,2,213
2193,4008272,2,206
2167,3765251,2,245
1927,4009539,2,251
1666,3813108,2,218
2150,3812946,2,229
2252,3887782,2,243
2233,2232,2,78
2150,3812947,2,195
2194,7069452,2,208
2194,7069451,2,182
2194,7069450,2,210
2252,3812933,2,243
2194,3632431,2,218
2482,1977,2,300
7653720,2476,2,235
1811,4036773,2,267
1811,4036774,2,278
2137,4036775,2,217
2057,6591484,2,182
2137,4036776,2,213
1927,4726759,2,221
1666,5138183,2,226
2207,7153051,2,208
2207,7153050,2,197
1927,4009536,2,251
1927,4009537,2,251
1977,3765205,2,195
1916,3749941,2,206
2106,5121365,2,182
2476,1667,2,99
2018,4036776,2,213
5727689,2194,2,207
2018,4036775,2,217
2533,6591519,2,186
2252,3813058,2,221
2334,6591518,2,235
