service_id,date,exception_type
2773425,20190122,1
2773425,20190123,1
2773425,20190124,1
2773425,20190128,1
2773425,20190129,1
2773425,20190130,1
2773425,20190131,1
2773425,20190204,1
2773425,20190205,1
2773425,20190206,1
2773425,20190207,1
2773425,20190225,1
2773425,20190226,1
2773425,20190227,1
2773425,20190228,1
2773425,20190304,1
2773425,20190305,1
2773425,20190306,1
2773425,20190307,1
2773425,20190311,1
2773425,20190312,1
2773425,20190313,1
2773425,20190314,1
2773425,20190318,1
2773425,20190319,1
2773425,20190320,1
2773425,20190321,1
2773425,20190325,1
2773425,20190326,1
2773425,20190327,1
2773425,20190328,1
2773425,20190401,1
2773425,20190402,1
2773425,20190403,1
2773425,20190404,1
2773425,20190408,1
2773425,20190409,1
2773425,20190410,1
2773425,20190411,1
2773425,20190429,1
2773424,20190127,1
2773424,20190203,1
2773424,20190210,1
2773424,20190217,1
2773424,20190224,1
2773424,20190303,1
2773424,20190310,1
2773424,20190317,1
2773424,20190324,1
2773424,20190331,1
2773424,20190407,1
2773424,20190414,1
2773424,20190422,1
2773424,20190428,1
2773424,20190501,1
2773424,20190505,1
2773424,20190508,1
2773424,20190512,1
2773424,20190519,1
2773424,20190526,1
2773424,20190530,1
12773431,20190216,1
12773431,20190223,1
12773431,20190420,1
12773431,20190427,1
12773431,20190504,1
12773431,20190508,1
12773431,20190511,1
12773431,20190518,1
12773431,20190525,1
12773431,20190530,1
12773431,20190608,1
12773431,20190615,1
12773431,20190622,1
12773431,20190629,1
12773429,20190127,1
12773429,20190203,1
12773429,20190210,1
12773429,20190217,1
12773429,20190224,1
12773429,20190303,1
12773429,20190310,1
12773429,20190317,1
12773429,20190324,1
12773429,20190331,1
12773429,20190407,1
12773429,20190414,1
12773429,20190421,1
12773429,20190422,1
12773429,20190428,1
12773429,20190505,1
12773429,20190512,1
12773429,20190519,1
12773429,20190526,1
12773430,20190126,1
12773430,20190202,1
12773430,20190209,1
12773430,20190302,1
12773430,20190309,1
12773430,20190316,1
12773430,20190323,1
12773430,20190330,1
12773430,20190406,1
12773430,20190413,1
12773430,20190501,1
2773429,20190126,1
2773429,20190202,1
2773429,20190209,1
2773429,20190216,1
2773429,20190223,1
2773429,20190302,1
2773429,20190309,1
2773429,20190316,1
2773429,20190323,1
2773429,20190330,1
2773429,20190406,1
2773429,20190413,1
2773429,20190420,1
2773429,20190421,1
2773429,20190427,1
2773429,20190504,1
2773429,20190511,1
2773429,20190518,1
2773429,20190525,1
12773427,20190702,1
12773427,20190703,1
12773427,20190704,1
12773427,20190705,1
12773427,20190709,1
12773427,20190710,1
12773427,20190711,1
12773427,20190712,1
12773427,20190716,1
12773427,20190717,1
12773427,20190718,1
12773427,20190719,1
12773432,20190601,1
12773432,20190706,1
12773432,20190713,1
12773432,20190720,1
12773428,20190602,1
12773428,20190609,1
12773428,20190610,1
12773428,20190616,1
12773428,20190623,1
12773428,20190630,1
12773428,20190707,1
12773428,20190714,1
12773428,20190715,1
12773428,20190721,1
2773428,20190601,1
2773428,20190608,1
2773428,20190609,1
2773428,20190615,1
2773428,20190622,1
2773428,20190629,1
2773428,20190706,1
2773428,20190713,1
2773428,20190714,1
2773428,20190720,1
12773425,20190123,1
12773425,20190124,1
12773425,20190125,1
12773425,20190129,1
12773425,20190130,1
12773425,20190131,1
12773425,20190201,1
12773425,20190205,1
12773425,20190206,1
12773425,20190207,1
12773425,20190208,1
12773425,20190226,1
12773425,20190227,1
12773425,20190228,1
12773425,20190301,1
12773425,20190305,1
12773425,20190306,1
12773425,20190307,1
12773425,20190308,1
12773425,20190312,1
12773425,20190313,1
12773425,20190314,1
12773425,20190315,1
12773425,20190319,1
12773425,20190320,1
12773425,20190321,1
12773425,20190322,1
12773425,20190326,1
12773425,20190327,1
12773425,20190328,1
12773425,20190329,1
12773425,20190402,1
12773425,20190403,1
12773425,20190404,1
12773425,20190405,1
12773425,20190409,1
12773425,20190410,1
12773425,20190411,1
12773425,20190412,1
12773425,20190430,1
2773427,20190701,1
2773427,20190702,1
2773427,20190703,1
2773427,20190704,1
2773427,20190708,1
2773427,20190709,1
2773427,20190710,1
2773427,20190711,1
2773427,20190715,1
