from_stop_id,to_stop_id,transfer_type,min_transfer_time
2467,3749688,2,108
2467,3749689,2,215
2313,5138167,2,285
2204,3672269,2,194
2313,5138168,2,216
2396,4298519,2,268
6591844,2099,2,214
1722,4036661,2,227
2313,5138169,2,233
2415,6263542,2,252
2396,4298518,2,268
2416,4459235,2,191
2415,6263540,2,238
2415,6263541,2,258
1722,4036660,2,254
2099,4726929,2,213
2376,4726932,2,229
2099,4726928,2,243
1950,3765282,2,243
2415,3926378,2,258
1950,3765283,2,196
1950,3765281,2,243
2467,3749691,2,252
2467,4472774,2,227
1802,7275539,2,237
2467,4472773,2,225
2467,3749690,2,225
2313,7176245,2,240
2416,3813147,2,198
2416,3813148,2,198
2415,3926380,2,252
1722,3926217,2,207
2396,7275543,2,261
2313,7176246,2,207
2007,4726924,2,208
6591545,2050,2,243
1889,3765151,2,257
1889,3765150,2,198
1630,4459237,2,238
1662,4726926,2,249
2396,7691427,2,268
2467,4008837,2,252
2050,3926436,2,214
2396,3813144,2,257
2396,3813146,2,236
2376,4726956,2,279
2376,4726955,2,254
2396,7714274,2,236
2396,7691433,2,236
2285,7176290,2,198
1786,4022972,2,236
1766,7170694,2,207
1786,4022970,2,257
2285,5018222,2,198
1802,4024811,2,219
1802,4024810,2,219
2050,6591524,2,243
1738,4726741,2,198
2415,6263538,2,199
2467,3716945,2,215
2415,6263539,2,287
1766,6591526,2,229
2313,3764800,2,222
6591844,2050,2,214
2313,3764803,2,233
2313,3764802,2,216
2313,3764801,2,228
2467,7176249,2,254
2285,1890,2,77
1949,3672244,2,194
1889,7376290,2,257
1802,3765183,2,232
1802,3765186,2,219
1935,4037282,2,220
1802,3765185,2,210
6591544,2375,2,203
1802,3765187,2,313
1950,3690050,2,207
1950,3690051,2,207
2416,4036665,2,198
2376,4996989,2,207
2007,3807626,2,208
1950,5231599,2,218
6591843,1683,2,196
2376,4996987,2,254
2376,4996988,2,217
2285,7376290,2,257
2467,7176251,2,226
1846,5018223,2,249
1889,3765191,2,198
6591548,1766,2,229
2204,3672244,2,194
2205,6263536,2,211
1737,5231596,2,252
2205,6263537,2,211
1737,5231597,2,287
2313,2102,2,300
2050,4726928,2,243
1662,5454899,2,316
1935,7275546,2,244
1738,4023264,2,188
1935,7275547,2,230
1738,4023265,2,188
2376,2527,2,118
2050,4726929,2,213
1683,6591451,2,196
7653708,1786,2,236
1683,6591452,2,220
2313,2224140,2,233
2313,2224141,2,233
2205,5231599,2,218
2542,4726926,2,249
7653706,2396,2,225
1786,7714274,2,236
2510,3740310,2,241
1889,3749689,2,267
2050,2051,2,93
2341,7275539,2,237
3343777,2376,2,180
1722,3749688,2,108
2260,4459238,2,244
1722,3749689,2,215
7653707,2396,2,231
2493,6591452,2,220
2099,3764657,2,243
2493,6591451,2,196
1722,3749690,2,225
1722,3749691,2,252
1722,5158083,2,235
1722,5158082,2,241
1722,5158081,2,226
2044,4017041,2,200
1889,7176290,2,198
2044,4017040,2,270
2313,3747818,2,233
2313,3747817,2,242
1846,7176291,2,249
2376,3926397,2,217
2376,3926396,2,204
2313,3747814,2,256
2313,3747813,2,249
2313,3747816,2,228
2313,3747815,2,234
2415,3672266,2,258
3343767,2313,2,180
1935,3749917,2,240
1935,3749918,2,220
2467,4473192,2,252
2467,4473191,2,210
2467,4473190,2,210
2313,7176291,2,249
1766,6423466,2,207
1766,6423465,2,253
1766,6423469,2,256
1766,6423468,2,243
2204,5922171,2,236
1766,6423467,2,217
2514,5018174,2,216
2514,5018173,2,259
1722,5657267,2,204
1722,5657268,2,205
2375,3807629,2,222
2285,4009641,2,241
2395,3673599,2,229
1935,7176252,2,240
1935,7176253,2,220
1722,4036827,2,254
1889,4036750,2,198
2467,6961993,2,226
2389,3747923,2,256
6591842,1766,2,217
1737,4036625,2,252
2389,3747924,2,252
1737,4036626,2,287
1889,4036751,2,186
2285,3765191,2,198
6591842,2376,2,217
1634,5018173,2,259
1634,5018174,2,216
2313,5018223,2,249
2285,2286,2,86
7653708,2396,2,236
1935,4472771,2,244
2376,6423466,2,207
1935,4472772,2,230
2376,6423465,2,253
2376,6423468,2,243
2376,6423467,2,217
2467,4459239,2,226
1846,4008835,2,207
2285,7176248,2,198
2285,7176249,2,257
1738,7714277,2,196
1738,7714278,2,191
1722,3716945,2,215
3343768,1846,2,180
2376,6423469,2,256
2467,4459240,2,235
1889,7176249,2,257
1889,7176248,2,198
2099,2051,2,111
1766,4996987,2,254
1766,4996988,2,217
1766,4996989,2,207
1765,5018389,2,203
2467,4008888,2,210
1722,3926243,2,242
2415,5231626,2,258
2415,5231625,2,199
2510,7275551,2,281
2285,4036660,2,257
1889,5018190,2,257
1737,3926378,2,258
1722,4009642,2,252
2285,3765151,2,257
2285,3765150,2,198
2277,4009649,2,231
1786,4298518,2,268
1889,5018189,2,198
2205,4036628,2,218
1786,4298519,2,268
2205,4036629,2,191
2467,4037283,2,226
2416,7714372,2,195
2416,7714371,2,198
2050,5018335,2,243
1950,4036629,2,191
1950,4036628,2,218
2277,4009650,2,222
2285,4036659,2,186
2204,4146139,2,211
2510,7275545,2,238
2415,4146112,2,252
1766,4037268,2,217
1630,7275551,2,281
1722,4009664,2,210
1785,3673599,2,229
2467,1166841,2,180
2467,1166840,2,180
1765,3807629,2,222
1722,3747809,2,195
2467,4726963,2,200
2341,3765187,2,313
1722,3893335,2,187
2341,3765186,2,219
1722,3893336,2,187
2341,3765185,2,210
1737,3672266,2,258
2341,3765183,2,232
2416,4022974,2,195
2285,4459241,2,198
2416,4022975,2,191
1950,2539,2,61
2415,3690079,2,287
1737,3926380,2,252
3343778,2376,2,180
1950,6263536,2,211
1950,6263537,2,211
3343767,1846,2,180
2313,2314,2,119
2044,4016758,2,200
2044,4016759,2,270
2467,7275550,2,235
1765,4726927,2,210
2542,4016274,2,316
2542,4016275,2,307
2285,4008889,2,198
2196,3747820,2,208
1935,4036662,2,230
1738,4677616,2,186
2044,7275540,2,208
1738,4677617,2,186
1889,3716874,2,254
2493,3926395,2,196
2493,3926394,2,220
2542,3764551,2,316
2099,7275147,2,243
2285,5018190,2,257
2285,4726917,2,186
2285,4726916,2,198
1630,7275545,2,238
2514,7714272,2,288
2514,7714273,2,288
2467,7275549,2,241
