service_id,date,exception_type
2773259,20190210,1
2773259,20190217,1
2773259,20190224,1
2773259,20190303,1
2773259,20190310,1
2773259,20190317,1
2773259,20190324,1
2773259,20190331,1
2773259,20190407,1
2773259,20190414,1
2773259,20190422,1
2773259,20190428,1
2773259,20190501,1
2773259,20190505,1
2773259,20190508,1
2773259,20190512,1
2773259,20190519,1
2773259,20190526,1
2773259,20190530,1
2773258,20190602,1
2773258,20190610,1
2773258,20190616,1
2773258,20190623,1
2773258,20190630,1
2773258,20190707,1
2773258,20190721,1
2773258,20190728,1
12773259,20190211,1
12773259,20190218,1
12773259,20190225,1
12773259,20190304,1
12773259,20190311,1
12773259,20190318,1
12773259,20190325,1
12773259,20190401,1
12773259,20190408,1
12773259,20190415,1
12773259,20190423,1
12773259,20190429,1
12773259,20190502,1
12773259,20190506,1
12773259,20190509,1
12773259,20190513,1
12773259,20190520,1
12773259,20190527,1
12773259,20190531,1
12773258,20190603,1
12773258,20190611,1
12773258,20190617,1
12773258,20190624,1
12773258,20190701,1
12773258,20190708,1
12773258,20190722,1
12773258,20190729,1
2773267,20190601,1
2773267,20190608,1
2773267,20190615,1
2773267,20190622,1
2773267,20190629,1
2773267,20190706,1
2773267,20190713,1
2773267,20190714,1
2773267,20190720,1
2773267,20190727,1
2773267,20190803,1
2773266,20190209,1
2773266,20190216,1
2773266,20190223,1
2773266,20190302,1
2773266,20190309,1
2773266,20190316,1
2773266,20190323,1
2773266,20190330,1
2773266,20190406,1
2773266,20190413,1
2773266,20190420,1
2773266,20190427,1
2773266,20190504,1
2773266,20190511,1
2773266,20190518,1
2773266,20190525,1
2773265,20190225,1
2773265,20190226,1
2773265,20190227,1
2773265,20190228,1
2773265,20190304,1
2773265,20190305,1
2773265,20190306,1
2773265,20190307,1
2773265,20190423,1
2773265,20190424,1
2773265,20190425,1
2773265,20190429,1
2773265,20190502,1
2773265,20190506,1
2773265,20190509,1
2773265,20190513,1
2773265,20190514,1
2773265,20190515,1
2773265,20190516,1
2773265,20190520,1
2773265,20190521,1
2773265,20190522,1
2773265,20190523,1
2773265,20190527,1
2773265,20190528,1
2773265,20190603,1
2773265,20190604,1
2773265,20190605,1
2773265,20190606,1
2773265,20190611,1
2773265,20190612,1
2773265,20190613,1
2773265,20190617,1
2773265,20190618,1
2773265,20190619,1
2773265,20190620,1
2773265,20190624,1
2773265,20190625,1
2773265,20190626,1
2773265,20190627,1
2773264,20190701,1
2773264,20190702,1
2773264,20190703,1
2773264,20190704,1
2773264,20190708,1
2773264,20190709,1
2773264,20190710,1
2773264,20190711,1
2773264,20190715,1
2773264,20190716,1
2773264,20190717,1
2773264,20190718,1
2773264,20190722,1
2773264,20190723,1
2773264,20190724,1
2773264,20190725,1
2773264,20190729,1
2773264,20190730,1
2773264,20190731,1
12773271,20190302,1
12773271,20190309,1
12773271,20190427,1
12773271,20190501,1
12773271,20190504,1
12773271,20190508,1
12773271,20190511,1
12773271,20190518,1
12773271,20190525,1
12773271,20190530,1
12773271,20190608,1
12773271,20190615,1
12773271,20190622,1
12773271,20190629,1
2773263,20190801,1
2773262,20190205,1
2773262,20190206,1
2773262,20190207,1
2773262,20190211,1
2773262,20190212,1
2773262,20190213,1
2773262,20190214,1
2773262,20190218,1
2773262,20190219,1
2773262,20190220,1
2773262,20190221,1
2773262,20190311,1
2773262,20190312,1
2773262,20190313,1
2773262,20190314,1
2773262,20190318,1
2773262,20190319,1
2773262,20190320,1
2773262,20190321,1
2773262,20190325,1
2773262,20190326,1
2773262,20190327,1
2773262,20190328,1
2773262,20190401,1
2773262,20190402,1
2773262,20190403,1
