from_stop_id,to_stop_id,transfer_type,min_transfer_time
967988,1647,2,180
2430,1753,2,139
6591535,1682,2,211
1964,2220,2,400
6591442,1753,2,206
3764510,2220,2,246
6640126,1875,2,198
6591785,2266,2,225
4726929,2100,2,213
3747826,2439,2,256
3687459,1753,2,198
3343777,967989,2,180
6114723,1965,2,221
6114723,2289,2,245
2377,967988,2,180
3687428,2220,2,246
2377,967989,2,180
7161643,2220,2,213
3695558,2289,2,226
7275452,2220,2,270
7275150,2220,2,199
6591836,2492,2,270
6591833,1875,2,198
3749750,1798,2,255
7635594,2115,2,270
3343778,967988,2,180
6591456,1965,2,200
3343778,967989,2,180
6591446,2436,2,206
6591840,1963,2,216
5454893,2289,2,226
6591545,2051,2,243
4726955,967988,2,254
4726955,967989,2,254
7161644,2220,2,213
6591447,2066,2,214
3764657,2100,2,243
5018399,2220,2,241
5018386,1965,2,213
5018338,2220,2,241
5018336,2439,2,214
4459252,1965,2,246
7161642,2220,2,213
3764613,2439,2,214
3926436,2100,2,214
3764548,1965,2,314
7275453,1965,2,197
3764661,2220,2,198
4037197,1965,2,198
3812918,1965,2,230
4037196,2289,2,245
4016267,1965,2,160
5018335,2051,2,243
3812919,1893,2,272
3764616,2220,2,198
5657294,2436,2,202
4036986,1965,2,189
3687428,1965,2,246
1967,2220,2,480
6591545,2100,2,243
4016265,1965,2,221
6591844,2051,2,214
6591532,2436,2,210
5018399,2289,2,223
3764510,1965,2,246
3764660,1893,2,212
6251746,1965,2,235
3747965,1963,2,187
7647746,1753,2,199
6591833,2271,2,198
6640126,2271,2,198
3687085,1893,2,226
6640087,2431,2,253
6423467,967989,2,217
6423467,967988,2,217
4651134,1965,2,243
7647707,1753,2,211
6591773,2066,2,214
6591770,2492,2,270
3812920,1965,2,160
7275314,2220,2,243
6591445,2266,2,237
6591772,1758,2,206
3687242,2220,2,282
2221,2220,2,123
3764616,1965,2,198
3687302,1965,2,294
3926389,2289,2,205
4016325,2220,2,168
3687469,1893,2,223
6591524,2051,2,243
6591444,2492,2,270
6591838,1758,2,206
4037268,967988,2,217
6591536,1875,2,188
3442416,1965,2,152
6591531,2115,2,196
4016324,2220,2,243
3926436,2051,2,214
4037268,967989,2,217
3764511,1965,2,282
3764661,1965,2,198
2289,1892,2,144
7275450,1965,2,243
3687242,1965,2,282
4036982,2100,2,243
3673613,1753,2,198
6640091,2271,2,188
3687089,2220,2,294
3926396,967988,2,204
3747828,2439,2,208
3926396,967989,2,204
3926439,1965,2,160
4997014,967989,2,253
7275450,2220,2,243
2548,2115,2,132
6423468,967988,2,243
6423468,967989,2,243
4036647,1893,2,226
6575223,2271,2,188
5727702,2220,2,243
7275147,2100,2,243
5018399,1965,2,241
6591446,1758,2,206
2548,2066,2,98
1766,967989,2,180
1766,967988,2,180
3764658,2439,2,214
6251745,2220,2,235
4997014,967988,2,253
5770775,2408,2,255
5770776,1798,2,202
6591555,2266,2,225
4036985,1965,2,200
3812920,2220,2,160
2050,2051,2,93
4996987,967988,2,254
5727628,2220,2,160
5018338,2289,2,223
3687430,1893,2,226
4726928,2051,2,243
4996987,967989,2,254
5710036,2220,2,160
6114732,1893,2,226
6575219,1753,2,220
1166834,2220,2,420
3812918,2289,2,272
1797,1798,2,75
3926437,1761,2,214
7568970,1875,2,254
6591548,967988,2,229
6591548,967989,2,229
6591836,1682,2,270
2219,1965,2,400
6114730,1965,2,265
4036767,1965,2,246
3687087,2220,2,282
6591553,2066,2,196
6114724,1893,2,245
6591535,2492,2,211
3687241,1965,2,246
3747920,1963,2,205
3673612,2431,2,189
7275315,2220,2,198
2223,1965,2,480
5710038,2220,2,314
6591788,1875,2,188
3749751,1798,2,202
3687469,2289,2,223
7170694,967989,2,207
6591560,1875,2,188
5727702,1965,2,243
7170694,967988,2,207
3687302,2220,2,294
4016268,2220,2,314
6114723,1893,2,245
6591784,2436,2,210
7275452,2289,2,218
1893,2288,2,192
6575276,2271,2,198
5770772,1682,2,270
6114724,2220,2,221
4016266,1965,2,221
6591554,2436,2,210
6591838,2436,2,206
6114731,2289,2,226
6591533,2266,2,225
4037199,2220,2,308
6114731,1965,2,256
3673612,1753,2,189
4651135,2220,2,196
5709980,2220,2,314
6114723,2220,2,221
4016265,1893,2,245
6591557,1682,2,211
3687241,2220,2,246
6114732,1965,2,256
6640091,1875,2,188
6591454,2439,2,214
6591442,2431,2,206
2221,1965,2,250
6591773,2115,2,214
3695558,1893,2,226
7275315,1965,2,198
6591553,2115,2,196
5018336,1761,2,214
5770830,1682,2,211
3687469,1965,2,241
6591845,1761,2,214
3764615,1965,2,252
6830742,1875,2,188
6591835,1753,2,206
6591554,1758,2,210
5709979,2220,2,243
1966,2220,2,126
4459253,2220,2,221
4037196,1965,2,221
3812967,2220,2,243
4726929,2051,2,213
6591847,2289,2,223
6640087,1753,2,253
1966,1965,2,250
967989,2527,2,180
3687089,1965,2,294
6591785,1905,2,225
3812919,1965,2,230
4037196,2220,2,221
5454895,2220,2,314
6423469,967988,2,256
1968,2220,2,480
4037197,2220,2,198
1166835,1965,2,420
1893,1892,2,175
3764660,2289,2,212
4037198,2220,2,246
5727629,1965,2,308
3747828,1761,2,208
7647746,2431,2,199
3687459,2431,2,198
4459253,1893,2,245
2289,2288,2,168
4036983,2439,2,214
6591770,1682,2,270
4037196,1893,2,245
6591783,2066,2,196
5018397,1761,2,214
7275147,2051,2,243
5709978,1965,2,160
3812967,1965,2,243
3812918,2220,2,230
2099,2051,2,111
4036982,2051,2,243
6591531,2066,2,196
3926389,1893,2,205
4016326,1965,2,243
3747827,2439,2,229
4016266,2220,2,221
4016326,2220,2,243
4651134,2220,2,243
6591788,2271,2,188
6114731,1893,2,226
5657321,2436,2,197
5709980,1965,2,314
4036822,2220,2,314
4016267,2220,2,160
6575276,1875,2,198
6591454,1761,2,214
5018396,2100,2,243
6591450,967989,2,217
967989,1647,2,180
7568970,2271,2,254
4036649,2220,2,314
3764615,1893,2,212
4037198,1965,2,246
1964,1965,2,400
4036769,2220,2,240
6591771,1905,2,237
5770772,2492,2,270
4726928,2100,2,243
4651135,1965,2,196
5710037,1965,2,243
3764615,2220,2,252
2050,2100,2,119
5454893,1893,2,226
6673110,1965,2,207
7275317,1965,2,308
4726956,967989,2,279
4726956,967988,2,279
6575219,2431,2,220
6591533,1905,2,225
5709978,2220,2,160
6114729,2220,2,265
6251746,2289,2,239
4996989,967989,2,207
3442415,2220,2,152
6114730,1893,2,199
1752,1753,2,156
6114724,2289,2,245
5018338,1893,2,223
3687469,2220,2,241
2220,2036,2,240
5770830,2492,2,211
6114729,1893,2,199
6591839,2115,2,214
4459253,1965,2,221
6591448,2218,2,216
5454894,2220,2,282
7275452,1893,2,218
6114732,2289,2,226
4996989,967988,2,207
2087,2115,2,139
3764812,2220,2,160
6591787,2492,2,211
1967,1965,2,480
4016268,1965,2,314
6591457,1965,2,204
6114729,2289,2,199
4016265,2289,2,245
7161643,1965,2,213
1166834,1965,2,420
1166835,2220,2,420
6423469,967989,2,256
3764612,2051,2,243
7275316,1965,2,240
3747920,2218,2,205
6591840,2218,2,216
3687659,1753,2,234
6591450,967988,2,217
4037195,2289,2,226
3442416,2220,2,152
4016324,1965,2,243
6114731,2220,2,256
3764660,2220,2,252
4036767,2220,2,246
4036986,2220,2,189
5727629,2220,2,308
6114730,2220,2,265
6591557,2492,2,211
6591541,1965,2,204
3926435,1963,2,216
5657294,1758,2,202
2222,1965,2,480
3687458,1753,2,189
4036985,2220,2,200
6830742,2271,2,188
5657321,1758,2,197
2219,2220,2,400
7275451,2220,2,199
3764657,2051,2,243
6591532,1758,2,210
2430,2431,2,140
5454907,1893,2,226
6114729,1965,2,265
1767,967988,2,180
1767,967989,2,180
7275316,1893,2,237
3687088,1965,2,246
2099,2100,2,137
3764548,2220,2,314
4036769,1893,2,237
7275453,2220,2,197
6591768,1753,2,206
3764513,1893,2,226
5454907,2289,2,226
4036769,2289,2,237
3747827,1761,2,229
2223,2220,2,480
6591453,2100,2,214
6114724,1965,2,221
7161642,1965,2,213
3764511,2220,2,282
6591847,2220,2,241
4037195,1893,2,226
6591847,1893,2,223
6869547,1875,2,254
4459253,2289,2,245
4016266,2289,2,245
6591444,1682,2,270
7275316,2220,2,240
4036649,1965,2,314
3764615,2289,2,212
5454894,1965,2,282
6575223,1875,2,188
6591847,1965,2,241
6591783,2115,2,196
6591457,2220,2,204
4996988,967989,2,217
6869547,2271,2,254
4996988,967988,2,217
3764845,1965,2,308
3764658,1761,2,214
6423465,967989,2,253
6423465,967988,2,253
3442415,1965,2,152
7275151,1965,2,189
6591768,2431,2,206
3926387,1965,2,246
7275148,1761,2,214
5709979,1965,2,243
7275314,1965,2,243
6673110,2220,2,207
3926437,2439,2,214
3687458,2431,2,189
3926397,967989,2,217
3926397,967988,2,217
7275316,2289,2,237
3747826,1761,2,256
3926439,2220,2,160
2431,4009041,2,278
4459252,2220,2,246
3764811,1965,2,243
6591842,967989,2,217
6591835,2431,2,206
6591842,967988,2,217
967988,2527,2,180
5018399,1893,2,223
1968,1965,2,480
5710037,2220,2,243
3687088,2220,2,246
3764513,2289,2,226
4016265,2220,2,221
5710036,1965,2,160
7275452,1965,2,270
7275148,2439,2,214
1753,4009041,2,278
3812919,2220,2,230
6251745,1893,2,239
5770776,2408,2,202
3764613,1761,2,214
3747965,2218,2,187
3764845,2220,2,308
6591837,1905,2,237
4016327,1965,2,308
6423466,967988,2,207
6423466,967989,2,207
6591772,2436,2,206
5018397,2439,2,214
4036983,1761,2,214
3764660,1965,2,252
4016327,2220,2,308
6591837,2266,2,237
3926435,2218,2,216
4036822,1965,2,314
7275150,1965,2,199
7647707,2431,2,211
4016266,1893,2,245
4037199,1965,2,308
6251746,2220,2,235
7275317,2220,2,308
1965,2155,2,250
6251745,2289,2,239
5018338,1965,2,241
6591536,2271,2,188
4036647,2289,2,226
6591448,1963,2,216
6591447,2115,2,214
7275451,1965,2,199
3687085,2289,2,226
6591845,2439,2,214
3687659,2431,2,234
4726932,967989,2,229
4726932,967988,2,229
6673109,2220,2,207
5018386,2220,2,213
6591445,1905,2,237
3749751,2408,2,202
6591844,2100,2,214
1797,2408,2,79
5454895,1965,2,314
7275151,2220,2,189
3764811,2220,2,243
5727628,1965,2,160
6591784,1758,2,210
4016325,1965,2,168
6673109,1965,2,207
6251745,1965,2,235
6591456,2220,2,200
6114732,2220,2,256
5018396,2051,2,243
6591541,2220,2,204
6591839,2066,2,214
1752,2431,2,131
2220,2155,2,210
5710038,1965,2,314
3764812,1965,2,160
6591526,967989,2,229
3812918,1893,2,272
6251746,1893,2,239
1965,2036,2,240
6591526,967988,2,229
6591524,2100,2,243
6591560,2271,2,188
7161644,1965,2,213
2222,2220,2,480
3926387,2220,2,246
6591555,1905,2,225
3687430,2289,2,226
3343777,967988,2,180
6114730,2289,2,199
5018335,2100,2,243
4036769,1965,2,240
2087,2066,2,95
6591787,1682,2,211
2376,967988,2,180
3749750,2408,2,255
2376,967989,2,180
3687087,1965,2,282
5770775,1798,2,255
6591771,2266,2,237
7635594,2066,2,270
3812919,2289,2,272
3673613,2431,2,198
3764612,2100,2,243
6591453,2051,2,214
