service_id,date,exception_type
2773593,20190421,1
2773595,20190602,1
2773595,20190610,1
2773595,20190616,1
2773595,20190623,1
2773595,20190630,1
2773595,20190707,1
2773595,20190721,1
2773595,20190728,1
2773594,20190210,1
2773594,20190217,1
2773594,20190224,1
2773594,20190303,1
2773594,20190310,1
2773594,20190317,1
2773594,20190324,1
2773594,20190331,1
2773594,20190407,1
2773594,20190414,1
2773594,20190422,1
2773594,20190428,1
2773594,20190501,1
2773594,20190505,1
2773594,20190508,1
2773594,20190512,1
2773594,20190519,1
2773594,20190526,1
2773594,20190530,1
2773597,20190211,1
2773597,20190212,1
2773597,20190213,1
2773597,20190214,1
2773597,20190218,1
2773597,20190219,1
2773597,20190220,1
2773597,20190221,1
2773597,20190415,1
2773597,20190416,1
2773597,20190417,1
2773597,20190418,1
2773597,20190423,1
2773597,20190424,1
2773597,20190425,1
2773597,20190502,1
2773597,20190506,1
2773597,20190509,1
2773597,20190513,1
2773597,20190514,1
2773597,20190515,1
2773597,20190516,1
2773597,20190520,1
2773597,20190521,1
2773597,20190522,1
2773597,20190523,1
2773597,20190527,1
2773597,20190528,1
2773597,20190603,1
2773597,20190604,1
2773597,20190605,1
2773597,20190606,1
2773597,20190611,1
2773597,20190612,1
2773597,20190613,1
2773597,20190617,1
2773597,20190618,1
2773597,20190619,1
2773597,20190620,1
2773597,20190624,1
2773597,20190625,1
2773597,20190626,1
2773597,20190627,1
2773596,20190801,1
2773604,20190215,1
2773604,20190222,1
2773604,20190419,1
2773604,20190426,1
2773604,20190503,1
2773604,20190507,1
2773604,20190510,1
2773604,20190517,1
2773604,20190524,1
2773604,20190529,1
2773604,20190607,1
2773604,20190614,1
2773604,20190621,1
2773604,20190628,1
2773605,20190208,1
2773605,20190301,1
2773605,20190308,1
2773605,20190315,1
2773605,20190322,1
2773605,20190329,1
2773605,20190405,1
2773605,20190412,1
2773605,20190430,1
2773602,20190531,1
2773602,20190705,1
2773602,20190712,1
2773602,20190719,1
2773602,20190726,1
2773603,20190802,1
2773600,20190601,1
